movie_id,title,genre,year,rating,description,poster_url
m00000,Iron Guardian,Documentary|War|Action,2004,7.5,A thrilling story following a wise mentor in quest for truth.,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?w=400&h=600&fit=crop
m00001,Digital Storm 1,Action|Animation,2016,6.8,A thrilling story following a lone hero in quest for justice.,https://images.unsplash.com/photo-1489599849228-ed4dc902ba4a?w=400&h=600&fit=crop
m00002,The Singularity Event 2,Mystery|Drama,1991,5.7,A thrilling story following a determined woman in quest for knowledge.,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?w=400&h=600&fit=crop
m00003,Quantum Leap 3,Action|History|Fantasy,1976,6.0,A thrilling story following a determined woman in quest for knowledge.,https://images.unsplash.com/photo-1534704849881-05ba2f3b76d7?w=400&h=600&fit=crop
m00004,Neon Nights 4,Documentary|Sci-Fi,1976,7.1,A thrilling story following an unlikely hero in quest for survival.,https://images.unsplash.com/photo-1489599849228-ed4dc902ba4a?w=400&h=600&fit=crop
m00005,Chaos Theory 5,Action,1988,5.7,A thrilling story following a broken man in quest for immortality.,https://images.unsplash.com/photo-1493381671297-c0f76cc5c8ab?w=400&h=600&fit=crop
m00006,Hidden Truths 6,Comedy,1970,8.2,A thrilling story following a broken man in quest for truth.,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?w=400&h=600&fit=crop
m00007,Fading Light 7,Drama,2008,5.7,A thrilling story following a young dreamer in quest for hope.,https://images.unsplash.com/photo-1498038432885-39c9be1d76d9?w=400&h=600&fit=crop
m00008,Digital Storm 8,Mystery,1990,4.8,A thrilling story following a wise mentor in quest for redemption.,https://images.unsplash.com/photo-1533613220915-609f71a91334?w=400&h=600&fit=crop
m00009,Time Paradox 9,Biography|Horror|Family,1970,7.2,A thrilling story following a brilliant detective in quest for justice.,https://images.unsplash.com/photo-1535016120754-188a5bfbf83d?w=400&h=600&fit=crop
m00010,The Awkward Truth 10,Sport|Sci-Fi,2026,6.3,A thrilling story following a brilliant detective in quest for immortality.,https://images.unsplash.com/photo-1496072633430-a347ce2c1d9c?w=400&h=600&fit=crop
m00011,Hilarious Mishaps 11,Crime|Sport,1979,5.3,A thrilling story following a fearless warrior in quest for redemption.,https://images.unsplash.com/photo-1415886469872-a37850b45cc0?w=400&h=600&fit=crop
m00012,Love's Misfortune 12,Crime,1983,4.8,A thrilling story following a fearless warrior in quest for love.,https://images.unsplash.com/photo-1415886469872-a37850b45cc0?w=400&h=600&fit=crop
m00013,Quantum Breach 13,Mystery|Crime,1980,5.1,A thrilling story following a young dreamer in quest for peace.,https://images.unsplash.com/photo-1518676590629-3dcbd9c5a5c9?w=400&h=600&fit=crop
m00014,Fortress Unbreakable 14,Western|Comedy,2019,8.5,A thrilling story following a fearless warrior in quest for love.,https://images.unsplash.com/photo-1456516643657-a8ae518888d8?w=400&h=600&fit=crop
m00015,Phoenix Rising 15,Thriller,1996,4.9,A thrilling story following a brilliant detective in quest for truth.,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=400&h=600&fit=crop
m00016,Phoenix Rising 16,History,1998,4.1,A thrilling story following a broken man in quest for revenge.,https://images.unsplash.com/photo-1506157786151-b8491531f063?w=400&h=600&fit=crop
m00017,The Last Horizon 17,Documentary|Musical,2026,6.9,A thrilling story following a determined woman in quest for justice.,https://images.unsplash.com/photo-1461896836934-ffe607ba8211?w=400&h=600&fit=crop
m00018,Laughing Matter 18,Musical|Biography,1989,4.8,A thrilling story following a determined woman in quest for peace.,https://images.unsplash.com/photo-1533613220915-609f71a91334?w=400&h=600&fit=crop
m00019,Beneath the Surface 19,Drama|Family,1972,7.0,A thrilling story following a broken man in quest for peace.,https://images.unsplash.com/photo-1489599849228-ed4dc902ba4a?w=400&h=600&fit=crop
m00020,Perfect Timing 20,War,1989,5.1,A thrilling story following a wise mentor in quest for hope.,https://images.unsplash.com/photo-1483389127117-b6a2102724ae?w=400&h=600&fit=crop
m00021,Dimensional Breach 21,Biography,1975,6.9,A thrilling story following a young dreamer in quest for immortality.,https://images.unsplash.com/photo-1522869635100-ce306e50dd5f?w=400&h=600&fit=crop
m00022,Shadow Protocol 22,Comedy|Western,1987,6.6,A thrilling story following a young dreamer in quest for peace.,https://images.unsplash.com/photo-1489599849228-ed4dc902ba4a?w=400&h=600&fit=crop
